web-scraper-order,web-scraper-start-url,productname_raw,price_raw,weight_raw,price_per_100g_raw
"1698740581-1","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Rama Sooo BUTTRIG! Mödeli","2.75","250g","1.10/100g"
"1698740581-2","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Naturaplan Bio Butter gesalzen","2.80","100g","2.80/100g"
"1698740581-3","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Fine Food Bio Butter mit Fleur de Sel de Guérande","3.55","100g","3.55/100g"
"1698740581-4","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Kräuterbutter-Rolle","2.85","100g","2.85/100g"
"1698740581-5","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Brunos Kräuterbutter","4.95","75g","6.60/100g"
"1698740581-6","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Hirz Kräuterbutter 4x15g","2.35","60g","3.92/100g"
"1698740581-7","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Karma The Vegan Pflanzliche Alternative zu Butter","4.95","250g","1.98/100g"
"1698740581-8","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Naturaplan Bio Kräuterbutter","3.95","40g","9.88/100g"
"1698740581-9","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Hirz Café de Paris 4x15g","2.50","60g","4.17/100g"
"1698740581-10","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Café de Paris Mousse 6x10g","4.20","60g","7.00/100g"
"1698740581-11","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Kräuterbutter 6x10g","4.60","60g","7.67/100g"
"1698740581-12","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Kräuterbutter Whisky 4x10g","3.95","40g","9.88/100g"
"1698740581-13","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Naturaplan Bio Ghee geklärte Butter","10.75","180g","5.97/100g"
"1698740581-14","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Sais Astra Speisefett mit 10% Butter","7.95","450g","1.77/100g"
"1698740581-15","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Rama zum Braten mit Butternote","5.45","500ml","1.09/100ml"
"1698740581-16","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Zibu Zigerbutter","2.80","80g","3.50/100g"
"1698740581-17","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Naturaplan Bio Kochbutter","4.65","220g","2.11/100g"
"1698740581-18","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Die Bratbutter Gourmet","10.95","450g","2.43/100g"
"1698740581-19","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Hipp Riegel Elefant Butterkeks 12+ Monate 2x  20g","2.20","2x 20g","5.50/100g"
"1698740581-20","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Prix Garantie Kochbutter","3.70","250g","1.48/100g"
"1698740581-21","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Frischback Silser Buttergipfel","3.20","200g","1.60/100g"
"1698740581-22","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Sabo Rapsöl mit Buttergeschmack","6.60","500ml","1.32/100ml"
"1698740581-23","https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Belfina Bratöl mit Appenzeller Bergbutter","6.95","500ml","1.39/100ml"
"1698740584-24","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Rama Sooo BUTTRIG!","2.95","225g","1.31/100g"
"1698740584-25","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Flora 100% pflanzlich","3.10","250g","1.24/100g"
"1698740584-26","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Rama Sooo BUTTRIG!","4.50","400g","1.13/100g"
"1698740584-27","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Floralp Vorzugsbutter","3.60","200g","1.80/100g"
