product_type;web-scraper-order;web-scraper-start-url;productname_raw;price_raw;weight_raw
flour;1698753392-1;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;NATURE SUISSE BIO Halbweissmehl;2.99;1kg
flour;1698753392-2;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;HAPPY HARVEST Zopfmehl;1.99;1kg
flour;1698753392-3;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;HAPPY HARVEST Ruchmehl;2.19;1kg
flour;1698753392-4;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;HAPPY HARVEST Weissmehl;0.99;1kg
flour;1698753392-5;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;HAPPY HARVEST Brotbackmischung, Vollkornbrot;1.99;1kg
flour;1698753392-6;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;HAPPY HARVEST Brotbackmischung, Pizzateig;1.99;1kg
flour;1698753392-7;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;HAPPY HARVEST Brotbackmischung, Sonnenkernbrot;1.99;1kg
flour;1698753392-8;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;HAPPY HARVEST Weissmehl, revitaminisiert;1.29;1kg
flour;1698753392-9;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;HAPPY HARVEST Dinkel-Vollkornmehl;3.79;1kg
flour;1698753392-10;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;HAPPY HARVEST Dinkel-Spätzlimehl;3.79;1kg
flour;1698753392-16;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;HAPPY HARVEST Dinkelmehl hell;3.79;1kg
flour;1698753392-17;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;NATURE SUISSE BIO Ruchmehl;2.99;1kg
flour;1698753392-18;https://www.aldi-now.ch/de/vorr%C3%A4te/backartikel?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=mehl;NATURE SUISSE BIO Vollkornmehl;2.99;1kg
