product_type;web-scraper-order;web-scraper-start-url;productname_raw;price_raw;pieces_raw
eggs;1698742811-1;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Naturafarm Eier aus Freilandhaltung 53g+ 10 Stück;6.10;10
eggs;1698742811-2;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Naturaplan Bio Eier aus Freilandhaltung 60g+ 6 Stück;5.20;6
eggs;1698742811-3;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Bio Eier Schweiz aus Freilandhaltung 10 Stück 53g+;7.95;10
eggs;1698742811-4;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Schweizer Eier Bodenhaltung 53g+ 10 Stück;4.10;10
eggs;1698742811-5;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Prix Garantie Eier Bodenhaltung 53g+ 15 Stück;4.25;15
eggs;1698742811-6;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Naturafarm Eier aus Freilandhaltung 53g+ 6 Stück;3.95;6
eggs;1698742811-7;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Naturaplan Bio Eier aus Freilandhaltung 53g+ 4 Stück;3.55;4
eggs;1698742811-8;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Naturafarm Eier aus Freilandhaltung 63g+ 4 Stück;2.95;4
eggs;1698742811-9;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Eier Freiland Gross 63g+ 6 Stück;4.10;6
eggs;1698742811-10;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Naturaplan Bio Regio Eier Züribiet 60g+ 6 Stück;5.95;6
eggs;1698742811-11;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Naturafarm Eier aus Freilandhaltung 70g+ 6 Stück;4.95;6
eggs;1698742811-12;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Qualité & Prix Eier Freiland Schweiz 10 Stück;4.95;10
eggs;1698742811-13;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Naturafarm Eier aus Freilandhaltung 53g+ 12 Stück;6.20;12
eggs;1698742811-14;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Naturaplan Bio Eier Schweiz Demeter 6 Stück 53g+;6.80;6
eggs;1698742811-15;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Prix Garantie Eier Bodenhaltung 10 Stück;3.95;10
eggs;1698742811-16;https://www.coop.ch/de/search?page=1&pageSize=30&q=Eier:relevance&text=Eier&sort=relevance;Flüssiges Eiweiss;4.50;2
