product_type;web-scraper-order;web-scraper-start-url;productname_raw;price_raw;weight_raw
butter;1698740582-1;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Die Butter;3.95;250g
butter;1698740582-2;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Butter;3.50;200g
butter;1698740582-3;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Die Butter;4.45;250g
butter;1698740582-4;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Butter;2.50;100g
butter;1698740582-5;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Butter;4.80;200g
butter;1698740582-6;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Butter;2.10;60g
butter;1698740582-7;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Butter;2.60;100g
butter;1698740582-8;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Streichfähige Butter;4.55;200g
butter;1698740582-9;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Die Butter;7.50;500g
butter;1698740582-10;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Bio Butter;4.70;200g
butter;1698740582-11;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Die Butter Schale;8.40;500g
butter;1698740582-12;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Café de Paris Butter;2.95;100g
butter;1698740582-13;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Gesalzene Butter;2.25;100g
butter;1698740582-14;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Butter Tradition;4.0;150g
butter;1698740582-16;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Joel Wicki Butter Modeli;3.45;150g
butter;1698740582-17;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Anna's Best Chipotle-Butter;4.90;60g
butter;1698740582-18;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Kochbutter;3.45;250g
butter;1698740582-19;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Wiesenrahm Butter IP-SUISSE;3.95;200g
butter;1698740582-20;https://www.migros.ch/de/search?query=Butter&filter.category=7494731;Butter Le Marechal pasteurisiert;3.55;150g
