product_type,web-scraper-order,web-scraper-start-url,productname_raw,price_raw,pieces_raw,Supermarkt
eggs,1698742125-1,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Eier M,4.95,10,Migros
eggs,1698742125-2,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Eier S,3.5,6,Migros
eggs,1698742125-3,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Eier M,7.95,10,Migros
eggs,1698742125-4,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Eier M,5.2,6,Migros
eggs,1698742125-5,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Eier M,3.75,6,Migros
eggs,1698742125-6,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Import Eier XS,5.95,15,Migros
eggs,1698742125-7,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Eier L,3.95,4,Migros
eggs,1698742125-8,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Eier S,3.95,4,Migros
eggs,1698742125-9,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Import 48g+,4.25,15,Migros
eggs,1698742125-10,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Eier M,6.8,6,Migros
eggs,1698742125-11,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Eier M,3.9,6,Migros
eggs,1698742125-12,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Import Eier XS,3.9,6,Migros
eggs,1698742125-13,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Eier M,7.95,12,Migros
eggs,1698742125-14,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Eier M,5.15,12,Migros
eggs,1698742125-15,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Eier M,3.95,4,Migros
eggs,1698742125-16,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,CH Picknickeier Freilandhaltung,4.95,6,Migros
eggs,1698742125-17,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Bio Picknickeier Herbamare,2.95,2,Migros
eggs,1698742125-18,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Picknickeier 6 x 50g+,4.65,6,Migros
eggs,1698742125-19,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,6 Eier Freilandhaltung 53g+,3.65,6,Migros
eggs,1698742125-20,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier aus dem Jura Freiland 10x53g,6.0,10,Migros
eggs,1698742125-21,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Migros Bio Eier Freilandhaltung,7.95,10,Migros
eggs,1698742125-22,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,"Eier aus der Region Freiland, 8x53g+",4.6,8,Migros
eggs,1698742125-23,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Ostschweizer Eier Freiland 10x63g+,6.6,10,Migros
eggs,1698742125-24,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Freilandhaltung 63+ IP-SUISSE,0.65,1,Migros
eggs,1698742125-25,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Freiland 53+ IP-SUISSE,6.3,10,Migros
eggs,1698742125-26,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Freilandhaltung 12   53+,7.0,12,Migros
