product_type,web-scraper-order,web-scraper-start-url,productname_raw,price_raw,weight_raw,Supermarkt
butter,1698740581-1,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Rama Sooo BUTTRIG! Mödeli,2.75,250g,Coop
butter,1698740581-2,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Butter gesalzen,2.8,100g,Coop
butter,1698740581-3,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Fine Food Bio Butter mit Fleur de Sel de Guérande,3.55,100g,Coop
butter,1698740581-4,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Kräuterbutter-Rolle,2.85,100g,Coop
butter,1698740581-5,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Brunos Kräuterbutter,4.95,75g,Coop
butter,1698740581-6,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Hirz Kräuterbutter 4x15g,2.35,60g,Coop
butter,1698740581-7,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Karma The Vegan Pflanzliche Alternative zu Butter,4.95,250g,Coop
butter,1698740581-8,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Kräuterbutter,3.95,40g,Coop
butter,1698740581-9,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Hirz Café de Paris 4x15g,2.5,60g,Coop
butter,1698740581-10,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Café de Paris Mousse 6x10g,4.2,60g,Coop
butter,1698740581-11,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Kräuterbutter 6x10g,4.6,60g,Coop
butter,1698740581-12,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Kräuterbutter Whisky 4x10g,3.95,40g,Coop
