product_type,web-scraper-order,web-scraper-start-url,productname_raw,price_raw,weight_raw,Supermarkt
flour,1698741806-1,https://www.migros.ch/de/search?query=Mehl,Urdinkel-Mehl,3.8,1kg,Migros
flour,1698741806-2,https://www.migros.ch/de/search?query=Mehl,Urdinkel-Mehl,3.8,1kg,Migros
flour,1698741806-3,https://www.migros.ch/de/search?query=Mehl,Halbweiss - Mehl,4.95,1kg,Migros
flour,1698741806-4,https://www.migros.ch/de/search?query=Mehl,Weissmehl,2.1,1kg,Migros
flour,1698741806-5,https://www.migros.ch/de/search?query=Mehl,Haushaltmehl Weissmehl,1.0,1kg,Migros
flour,1698741806-6,https://www.migros.ch/de/search?query=Mehl,Zopfmehl,2.1,1kg,Migros
flour,1698741806-8,https://www.migros.ch/de/search?query=Mehl,Pizzamehl,2.6,1kg,Migros
flour,1698741806-9,https://www.migros.ch/de/search?query=Mehl,Ruchmehl,2.2,1kg,Migros
flour,1698741806-10,https://www.migros.ch/de/search?query=Mehl,Dinkelmehl,3.75,1kg,Migros
flour,1698741806-11,https://www.migros.ch/de/search?query=Mehl,Halbweissmehl,2.1,1kg,Migros
flour,1698741806-12,https://www.migros.ch/de/search?query=Mehl,Weissmehl,3.0,1kg,Migros
flour,1698741806-13,https://www.migros.ch/de/search?query=Mehl,Zopfmehl,3.8,1kg,Migros
flour,1698741806-14,https://www.migros.ch/de/search?query=Mehl,Chnöpflimehl,3.6,1kg,Migros
flour,1698741806-15,https://www.migros.ch/de/search?query=Mehl,Vollkornmehl,2.5,1kg,Migros
flour,1698741806-16,https://www.migros.ch/de/search?query=Mehl,Mehrkornmehl,3.5,1kg,Migros
flour,1698741806-18,https://www.migros.ch/de/search?query=Mehl,Dinkelvollkornmehl,3.4,1kg,Migros
flour,1698741806-19,https://www.migros.ch/de/search?query=Mehl,Roggenvollkornmehl,3.6,1kg,Migros
flour,1698741806-20,https://www.migros.ch/de/search?query=Mehl,Dinkelmehl,3.75,1kg,Migros
flour,1698741806-30,https://www.migros.ch/de/search?query=Mehl,Aus der Region Bauernmehl,2.8,1kg,Migros
flour,1698741806-32,https://www.migros.ch/de/search?query=Mehl,Aus der Region Halbweissmehl,2.6,1kg,Migros
flour,1698741806-33,https://www.migros.ch/de/search?query=Mehl,Aus der Region Zopfmehl,2.5,1kg,Migros
flour,1698741806-34,https://www.migros.ch/de/search?query=Mehl,Aus der Region Zopfmehl,2.8,1kg,Migros
flour,1698741806-42,https://www.migros.ch/de/search?query=Mehl,Mehlmischung glutenfrei,4.9,1kg,Migros
flour,1698741806-43,https://www.migros.ch/de/search?query=Mehl,Aus der Region Zopfmehl,3.95,1kg,Migros
flour,1698741806-44,https://www.migros.ch/de/search?query=Mehl,Mehlmischung,5.9,1kg,Migros
